意外身故、伤残	5万-50万	在保险期间内，被保险人不幸遭受意外事故导致身故或伤残，我们按条款给付意外身故/伤残保险金。
意外医疗	0-10万	因意外伤害事故需门诊或住院治疗，发生的医疗费用，我们将就其事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分给付医疗保险金。
住院误工津贴	0-100元/天	因意外伤害事 故入院治疗，我们按照保险单载明的住院误工津贴日额给付，累计给付天数以90天为限。
救护车费用报销	0-2000	因意外伤害事故实际支付的救护车车费，我们将给付救护车车费保险金，以2000元为限。
飞机意外身故、伤残	0-800万	被保险人以乘客身份乘坐民航客机期间不幸遭受意外伤害事故导致身故或伤残的，我们将赔偿意外身故保险金或意外残疾保险金。和意外身故、伤残累计赔付。
火车意外身故、伤残	0-100万	被保险人以乘客身份乘坐商业营运的火车（含高铁、地铁）期间不幸遭受意外伤害事故导致身故或伤残的，我们将赔偿意外身故保险金或意外残疾保险金。和意外身故、伤残累计赔付。
轮船意外身故、伤残	0-100万	被保险人以乘客身份乘坐商业营运的轮船期间不幸遭受意外伤害事故导致身故或伤残的，我们将赔偿意外身故保险金或意外残疾保险金。和意外身故、伤残累计赔付。
汽车意外身故、伤残	0-30万	被保险人以乘客身份乘坐商业营运的汽车（含公交、出租车）期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。和意外身故、伤残累计赔付。
意外住院垫付/担保服务	赠送	*担保垫付金额需在保险方案规定的保障额度内。
意外伤害身故和伤残	5-50万	在保险期间内，被保险人遭受意外伤害事故，并自事故发生之日起180日内因该事故身故的，保险人按意外伤害保险金额给付身故保险金，对被保险人的保险责任终止；自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1-5万	我们将就其事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分按100%比例给付医疗保险金。
飞机意外伤害身故和伤残	50-800万	在保险期间内，被保险人以乘客身份乘坐民航客机期间因意外伤害事故身故/伤残，我们将按“飞机意外伤害保险金额”给付保险金。
火车意外伤害身故和伤残	10-100万	在保险期间内，被保险人以乘客身份乘坐商业运营的火车、高铁、地铁、轻轨期间因意外伤害事故身故/伤残，我们将按“火车意外伤害保险金额”给付保险金。
轮船意外伤害身故和伤残	10-100万	在保险期间内，被保险人以乘客身份乘坐商业运营的轮船期间因意外伤害事故身故/伤残，我们将按“轮船意外伤害保险金额”给付保险金。
汽车意外伤害身故和伤残	5-30万	在保险期间内，被保险人以乘客身份乘坐商业运营的汽车期间因意外伤害事故身故/伤残，我们将按“汽车意外伤害保险金额”给付保险金。
高风险运动意外身故和伤残	5-50万	在保险期间内，被保险人因参加高风险活动导致意外身故或伤残，我们也承担保险责任，累计赔付金额不超过投保的高风险意外伤害保险金额。
高风险运动意外医疗	1-5万	在保险期间内，被保险人因参加高风险活动导致意外伤害事故需门诊或住院治疗，发生的医疗费用，本公司就其事故发生之日起一百八十天内实际支出的符合社会医疗保险主管部门规定的合理医疗费用超过人民币100元的部分，按照100%的比例给付高风险意外伤害医疗保险金。
意外住院津贴	10-100元/天	同一被保险人一次或多次累计赔付天数不超过180天。
猝死	5-30万	在保险期间内，若被保险人不幸猝死,我们将按照约定赔付猝死保险金。
救护车费用	2000元	在保险期间内，被保险人因发生意外伤害事故实际支付的救护车车费，我们将按照约定给付救护车车费保险金，累计金额不超过2000元。
24小时电话医疗服务/代垫付住院保证金	专享	*担保垫付金额需在保险方案规定的保障额度内。
意外伤害身故/伤残	5-60万	在保险期间内，被保险人遭受意外伤害事故，自事故发生之日180天内，因为该事故导致身故、伤残的，本公司将按照被保险人的意外伤害保险金额进行赔偿，累计赔付金额不超过投保的意外伤害保险金额。
意外伤害医疗	0.5-10万	在当地社会医疗保险主管部门规定范围内，对超过人民币100元的部分，按照80%的比例赔付保险金。
意外住院津贴	30-150元/天	同一被保险人一次或多次累计赔付天数不超过180天。
重大疾病	1-20万	条款释义规定的30种重大疾病，我们将依照约定给付“重大疾病保险金”。(及时续保无等待期)
疾病(含猝死)身故	1-20万	在保险期间内，若被保险人不幸猝死或保险责任生效之日起30日后（不含第30天），因遭受疾病导致身故的，我们将按照约定给付“疾病身故保险金”。
飞机意外身故/伤残	50-800万	注：飞机意外身故/伤残与主险意外身故/伤残保额累计赔付。
火车（含地铁）意外伤害身故/伤残	10-100万	注：火车意外身故/伤残与主险意外身故/伤残保额累计赔付。
轮船意外身故/伤残	10-100万	注：轮船意外身故/伤残与主险意外身故/伤残保额累计赔付
汽车意外身故/伤残	5-30万	注：汽车意外身故/伤残与主险意外身故/伤残保额累计赔付。
私家车驾驶或乘坐意外身故/残疾	10-30万	因意外伤害事故导致身故、伤残的，我们将按“私家车驾驶或乘坐意外伤害身故和残疾”给付保险金。注：私家车意外身故/伤残与主险意外身故/伤残保额累计赔付。
24小时电话医疗服务/代垫付住院保证金	专享	*担保垫付金额需在保险方案规定的保障额度内。
意外身故/伤残	5-50万	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并自事故发生之日起180日内因该事故身故的，保险人按意外伤害保险金额给付身故保险金，对被保险人的保险责任终止；自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1万-30万	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并自事故发生之日起180日内实际支出的按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分，按100%比例给付医疗保险金。
高风险运动（意外身故/伤残）	5-30万	保险期间内，保险人扩展承保被保险人在参加高风险运动期间遭受主保险合同约定的意外伤害事故，并根据主保险合同的约定承担赔偿责任。
高风险运动（意外伤害医疗）	1-10万	保险期间内，保险人扩展承保被保险人在参加高风险运动期间遭受主保险合同约定的意外伤害事故，并根据主保险合同的约定承担赔偿责任。
旅行急性病医疗费用补偿	1-10万	在保险期间内，被保险人因遭受急性病并在二级或二级以上的公立医院进行治疗，自事故发生或诊断之日起180日内实际支出的，按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用超过人民币100元的部分按100%比例给付医疗保险金。
急性病身故或全残	1-5万	被保险人旅行期间突发急性病，并自该疾病发生之日起30日内因该急性病身故或全残的，保险人按本附加险保险金额一次性给付急性病身故身故或全残保险金，对该被保险人的保险责任终止。
意外住院津贴	50~100元/天	在保险期间内，被保险人在旅行期间遭受意外伤害事故或罹患疾病，并在二级或二级以上的公立医院住院治疗，保险人就被保险人自事故发生或诊断之日起180日内的合理住院天数，按保险单载明的每日给付金额给付旅行住院津贴保险金。总赔偿天数累计不过超过90天。
交通工具意外伤害身故	10-20万	保险期间内，被保险人以乘客的身份乘坐公共交通工具时发生交通意外事故，并自事故发生之日起一百八十日内因该事故身故的，保险人按照本附加保险合同的保险金额向受益人给付“交通工具意外身故保险金”。
旅行票证损失	500-1000元	（每次事故免赔额为0元）
旅行随身行李损失	500-1000元	（每次事故免赔额为0元）
医疗运送和送返	15万	*不承担任何未经平安、救援服务机构或其授权代表批准并安排的运送或送返的费用。如果在紧急情况下，被保险人因身体状况不允许或其他客观原因无法通知救援服务机构，救援公司有权参照在相同情况下若由救援服务机构提供或安排服务所需要的合理的费用进行赔偿。
丧葬费	9000元	被保险人在非常住地身故的，根据被保险人亲属的要求并在不违反当地法律的情况下，救援服务机构或其授权代表安排在事发当地安葬被保险人。我公司承担安葬费用，最高给付金额以9000元为限。
亲属前往处理后事	9000元	被保险人于三十（30）天内在非常住地身故的，根据被保险人亲属的要求，经救援服务机构许可，该被保险人的一名成年直系亲属可以前往被保险人身故地，我公司负责承担该名亲属一套往返被保险人身故地与亲属所在地的普通航班经济舱机票、船票、火车票或汽车票的费用以及实际支出的合理住宿费，最高以9000元为限。
亲属慰问探访	9000元	被保险人经救援服务机构的授权医生与主治医生共同认定被保险人在事故发生地的预计住院时间超过八（8）日(不包括8日)，根据被保险人的要求，经救援服务机构许可，该被保险人的一名成年直系亲属可以前往被保险人住院地点探视，我公司负责承担该名亲属一套往返普通航班经济舱机票、船票、火车票、汽车票或其他更经济的交通方式的费用以及实际支出的合理住宿费，最高以9000元为限。
境内住院垫付及电话医学咨询	专享	*电话医学咨询服务不应被视为电话诊疗、120或911服务。
意外伤害身故和残疾	5-50万	注：综合意外身故/伤残与公共交通意外身故/残疾保额累计赔付。
意外伤害医疗	1-5万	给付医疗保险金。
飞机意外伤害身故和残疾	50-800万	在保险期间内，被保险人以乘客身份乘坐民航客机期间因意外伤害事故身故/残疾，我们将按“飞机意外伤害保险金额”给付保险金。
火车意外伤害身故和残疾	10-100万	注：未成年人除航空意外以外的身故保险金额最高不超过20万元
轮船意外伤害身故和残疾	10-100万	注：未成年人除航空意外以外的身故保险金额最高不超过20万元
汽车意外伤害身故和残疾	5-30万	注：未成年人除航空意外以外的身故保险金额最高不超过20万元
高风险运动意外身故和残疾	5-30万	在保险期间内，被保险人因参加高风险活动导致意外身故、伤残，我们将赔偿高风险运动意外身故或残疾保险金。
高风险运动意外医疗	1-5万	给付高风险运动意外医疗保险金。
意外住院津贴	10-100元/天	在保险期间内，被保险人因遭受意外伤害事故住院治疗，我们按照保险单载明的住院误工津贴日额给付，累计给付天数以180天为限。
猝死	5-50万	在保险期间内，若被保险人不幸猝死,我们将按照约定赔付猝死保险金。
救护车费用	2000元	在保险期间内，被保险人因发生意外伤害事故实际支付的救护车车费，我们将按照约定给付救护车车费保险金，累计金额不超过2000元。
意外住院垫付/担保服务	专享	*担保垫付金额需在保险方案规定的保障额度内。
意外伤害身故和残疾	10-50万元	被保险人不幸遭受意外伤害事故，导致身故、残疾的，我们将按照条款给付保险金。
意外伤害医疗	1-10万元	被保险人不幸遭受意外伤害事故进行治疗，按照当地社会医疗保险主管部门规定可报销的、必要的、合理的医疗费用，对超过人民币100元的部分按照100%给付医疗保险金。
住院护理津贴	50-200元/天	被保险人不幸遭受意外伤害事故，并自事故发生之日起180天内，因该事故在医院进行住院治疗的，按照保险单载明的【意外伤害住院津贴日额*天数】给付意外住院津贴，累计天数不超过90天。
猝死	10-50万元	被保险人身体急性症状发生后即刻或二十四小时内发生死亡的，我们将按照条款给付保险金。
救护车车费保险金	2000元	保险期间内，被保险人发生主保险合同中保险事故后，需要安排救护车的，对于被保险人因该事故实际支付的、必要的救护车费用，保险人按照保险合同的约定负责赔偿。
飞机意外伤害身故和残疾	200-500万元	被保险人以乘客身份乘坐民航客机期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。
火车意外伤害身故和残疾	20-100万元	被保险人以乘客身份乘坐商业营运的火车（含高铁、地铁）期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金
轮船意外伤害身故和残疾	20-100万元	被保险人以乘客身份乘坐商业营运的轮船期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。
汽车意外伤害身故和残疾	10-50万元	被保险人以乘客身份乘坐商业营运的汽车期间不幸遭受意外伤害事故导致身故或残疾的，我们将按照条款给付保险金。
电话医学咨询	专享	服务电话：95511转9
意外住院医疗垫付	专享	服务电话：95511转9
意外伤害身故和残疾	1-50万元	在保险期间内，被保险人在旅行期间遭受意外伤害事故，并自事故发生之日起180日内因该事故身故的，保险人按意外伤害保险金额给付身故保险金，对被保险人的保险责任终止；自事故发生之日起180日内因该事故造成《人身保险伤残评定标准及代码》（标准编号为JR/T0083—2013）所列伤残之一的，保险人按该表所列给付比例乘以意外伤害保险金额给付伤残保险金，对被保险人的保险责任终止。
意外伤害医疗	1-50万元	。
